NomMus;Imagen;Sexo;DiaNac;MesNac;AnioNac;DiaDef;MesDef;AnioDef;Pais;Origen;Visitas
"Trey Azagthoth";https://www.metal-archives.com/images/6/6_artist.jpg?1319;Hombre;26;3;1965;;;;"Estados Unidos";"Bellingham, Washington";0
Tritze;https://www.metal-archives.com/images/3/7/9/5/3795_artist.jpg?2419;Hombre;16;7;1967;;;;Alemania;Essen;0
"Troy Donockley";https://www.metal-archives.com/images/1/1/9/2/11922_artist.jpg?4341;Hombre;30;5;1964;;;;"Reino Unido";"Workington, Cumbria, England";0
"Tuomas Holopainen";https://www.metal-archives.com/images/1/9/9/8/1998_artist.jpg?0801;Hombre;25;12;1976;;;;Finlandia;"Kitee, Pohjois-Karjala";0
"Txus di Fellatio";https://www.metal-archives.com/images/2/8/7/2/28720_artist.jpg?5922;Hombre;21;1;1970;;;;España;"Bilbao, Basque Country";0
"Udo Dirkschneider";https://www.metal-archives.com/images/2/1/5/2/21529_artist.jpg?3226;Hombre;6;4;1952;;;;Alemania;"Wuppertal, North Rhine-Westphalia";0
"Uli Kusch";https://www.metal-archives.com/images/2/3/9/8/2398_artist.jpg?5524;Hombre;11;3;1967;;;;Alemania;"Aachen, North Rhine-Westphalia";0
"Veijo Laine";;Hombre;;;;;;;Finlandia;;0
Ventor;https://www.metal-archives.com/images/3/7/7/3/3773_artist.jpg?3103;Hombre;29;6;1966;;;;Alemania;"Gelsenkirchen, North Rhine-Westphalia";0
"Vic Maile";;Hombre;;;1943;11;7;1989;"Reino Unido";;0
"Vince Neil";https://www.metal-archives.com/images/7/9/8/4/7984_artist.jpg?0459;Hombre;8;2;1961;;;;"Estados Unidos";"Hollywood, Los Angeles, California";0
"Vincent Wojno";https://www.metal-archives.com/images/1/3/5/0/135093_artist.jpg?2815;Hombre;;;1964;;;;"Estados Unidos";;0
"Vinnie Paul";https://www.metal-archives.com/images/5/7/5/0/5750_artist.jpg?0131;Hombre;11;3;1964;22;6;2018;"Estados Unidos";"Abilene, Texas";0
"Vinny Appice";https://www.metal-archives.com/images/7/3/2/6/7326_artist.jpg?0802;Hombre;13;9;1957;;;;"Estados Unidos";"Brooklyn, New York City, New York";0
"Vivian Campbell";https://www.metal-archives.com/images/3/5/6/5/3565_artist.jpg?1600;Hombre;25;8;1962;;;;"Reino Unido";"Belfast, County Antrim, Northern Ireland";0
Vvornth;https://www.metal-archives.com/images/7/4/5/745_artist.jpg?1349;Hombre;;;;;;;Suecia;;0
"Will Malone";https://www.metal-archives.com/images/4/2/0/3/4203_artist.jpg?4430;Hombre;;;1952;;;;"Reino Unido";England;0
"Will Reid-Dick";;Hombre;;;;;;;"Reino Unido";;0
"Wojtek Wies?awski";;Hombre;;;;;;;Polonia;;0
"Wolf Hoffmann";https://www.metal-archives.com/images/2/1/6/4/21647_artist.jpg?1336;Hombre;10;12;1959;;;;Alemania;"Mainz, Rhineland-Palatinate";0
Würzel;https://www.metal-archives.com/images/2/3/3/3/2333_artist.jpg?3923;Hombre;23;10;1949;9;7;2011;"Reino Unido";"Cheltenham, South West England";0
"Zacky Vengeance";https://upload.wikimedia.org/wikipedia/commons/0/05/Avenged_Sevenfold-Rock_im_Park_2014_by_2eight_3SC7636.jpg;Hombre;11;12;1981;;;;"Estados Unidos";"Huntington Beach, California";0
"Zakk Wylde";https://www.metal-archives.com/images/1/5/0/7/15078_artist.jpg?0335;Hombre;14;1;1967;;;;"Estados Unidos";"Bayonne, New Jersey";0
